OrderID,PickupX,PickupY,DeliveryX,DeliveryY,OrderSize,TripDistance,NearestDriverPickupDistance,OutlierScore,IsTripOutlier,IsPickupOutlier
O7809,9,100,84,23,4,107.48953437428223,19.6468827043885,6.468743707626947,False,True
O1610,4,100,83,17,2,114.58621208504974,19.0,6.461129504868858,False,True
O8829,1,100,88,32,5,110.42191811411355,19.235384061671343,6.43335262355895,False,True
O4153,27,98,79,1,1,110.05907504608605,18.35755975068582,6.230058828866424,False,True
O9715,6,100,74,25,5,101.23734488813898,19.1049731745428,6.226842515486616,False,True
O1124,7,99,78,15,2,109.98636279102969,18.24828759089466,6.204220795185161,False,True
O1712,6,99,94,33,5,110.0,18.110770276274835,6.17373431626279,False,True
O2936,11,100,71,25,7,96.04686356149273,19.313207915827967,6.17317971577681,False,True
O6119,2,100,54,17,4,97.94386147176351,19.1049731745428,6.163247058237869,False,True
O1068,4,100,61,20,1,98.22932352408826,19.0,6.145286467059995,False,True
O8206,4,99,98,43,8,109.41663493271945,18.0,6.137700852498179,False,True
O0309,7,100,34,9,7,94.92101980067429,19.235384061671343,6.134038313637702,False,True
O0988,4,100,61,21,2,97.41663102366043,19.0,6.129593796220858,False,True
O3548,13,100,70,17,5,100.68763578513501,18.681541692269406,6.1215457598891145,False,True
O2655,27,99,63,12,3,94.15412895885129,19.235384061671343,6.119230049080146,False,True
O4584,8,99,79,24,6,103.27632836231156,18.439088914585774,6.117317982211524,False,True
O6068,10,98,66,4,2,109.41663493271945,17.88854381999832,6.112778492998558,False,True
O3396,8,100,71,34,8,91.2414379544733,19.4164878389476,6.103483531580682,False,True
O0005,9,100,77,45,6,87.45856161634491,19.6468827043885,6.08195600882015,False,True
O7782,4,99,91,38,3,106.25441167311595,18.0,6.076639960824274,False,True
O4172,6,99,76,24,1,102.59142264341595,18.110770276274835,6.030678528517793,False,True
O0645,13,100,100,60,2,95.75489543621255,18.681541692269406,6.026297101153101,False,True
O9478,19,99,78,2,3,113.53413583587978,17.029386365926403,6.000171853633459,False,True
O9166,26,100,42,19,3,82.56512580987206,19.697715603592208,5.998832882232508,False,True
O3275,20,100,91,30,2,99.70456358662827,18.110770276274835,5.974934776836436,False,True
O1801,16,100,6,2,1,98.50888284819801,18.110770276274835,5.951846801683468,False,True
O5269,12,100,53,23,5,87.23531395025755,18.973665961010276,5.927109371953297,False,True
O3506,9,100,68,49,4,77.98717843338096,19.6468827043885,5.899068510038824,False,True
O3919,21,100,60,15,2,93.5200513259055,18.24828759089466,5.886264857827718,False,True
O9723,3,99,98,93,5,95.1892851112981,18.027756377319946,5.869184618330439,False,True
O9371,4,99,96,85,3,93.05912099305473,18.0,5.8218457389507865,False,True
O0262,11,100,15,23,4,77.10382610480494,19.313207915827967,5.807399483592134,False,True
O2850,11,99,23,12,4,87.82368700982668,18.384776310850235,5.806790821788495,False,True
O3449,29,99,22,1,8,98.2496819333274,17.46424919657298,5.8022752580912185,False,True
O6476,17,100,28,10,7,90.6697303403953,18.027756377319946,5.781914358888042,False,True
O8505,6,98,33,1,2,100.68763578513501,17.11724276862369,5.771757886848957,False,True
O8929,26,99,33,18,6,81.30190649671138,18.788294228055936,5.7710879706281295,False,True
O6316,5,100,28,28,1,75.58438992278762,19.026297590440446,5.713904859574674,False,True
O8814,12,98,92,43,3,97.082439194738,17.08800749063506,5.6956062029266,False,True
O7009,4,97,65,6,5,109.55363982999378,16.0,5.693132750533776,False,True
O1830,17,100,4,15,8,85.98837130682264,18.027756377319946,5.691519743021646,False,True
O1150,2,98,95,74,6,96.04686356149273,17.11724276862369,5.6821469812399,False,True
O7421,27,100,72,51,8,66.52818951391959,19.6468827043885,5.677801374968972,False,True
O7278,20,99,48,8,2,95.2102935611481,17.11724276862369,5.665993248256768,False,True
O6561,28,97,52,18,3,82.56512580987206,18.027756377319946,5.625418647272735,False,True
O3063,28,96,95,33,8,91.96738552334735,17.204650534085253,5.6229193458806055,False,True
O8157,4,98,75,37,2,93.60555539069249,17.0,5.608790306117792,False,True
O8373,29,95,97,31,1,93.38094023943002,17.0,5.604453103999662,False,True
O1222,10,96,97,40,1,103.46496991735899,16.1245154965971,5.603406202683745,False,True
O0099,17,97,85,3,4,116.01724009818541,15.033296378372908,5.601780019424245,False,True
O2848,24,100,91,90,3,67.7421582177598,18.973665961010276,5.550706641074054,False,True
O6115,29,99,95,49,1,82.80096617793781,17.46424919657298,5.503968566311625,False,True
O5265,10,95,64,2,1,107.54068997360952,15.231546211727817,5.4824322416156255,False,True
O6830,28,100,95,94,5,67.26812023536856,18.681541692269406,5.476232241123029,False,True
O4686,23,96,81,1,3,111.30588483993108,14.866068747318506,5.473412956935535,False,True
O6186,3,97,21,1,2,97.67292357659824,16.0312195418814,5.470703181079431,False,True
O1119,28,99,95,82,6,69.12307863514182,18.439088914585774,5.457836436887603,False,True
O5725,21,97,94,21,4,105.38026380684383,15.297058540778355,5.45536453453029,False,True
O0249,13,99,53,33,8,77.17512552629896,17.72004514666935,5.452534213349626,False,True
O3936,28,98,92,69,3,70.26378868236469,18.24828759089466,5.437198483496134,False,True
O7651,28,96,45,16,6,81.78630692236935,17.204650534085253,5.426327996522248,False,True
O8872,18,99,92,60,8,83.64807230295268,17.0,5.416516470195953,False,True
O1265,11,97,96,72,3,88.60022573334675,16.55294535724685,5.412175528385089,False,True
O6245,30,99,86,30,3,88.86506625215557,16.492422502470642,5.403756139748321,False,True
O5046,31,98,74,5,6,102.45974819410792,15.297058540778355,5.398970892202968,False,True
O0674,30,94,43,1,7,93.90420650854784,16.0312195418814,5.39793120840389,False,True
O0130,26,97,55,20,4,82.28000972289685,17.0,5.390099891053344,False,True
O8110,29,100,93,63,5,73.92563831310488,17.72004514666935,5.38978829997428,False,True
O7007,8,100,57,78,6,53.71219600798314,19.4164878389476,5.378813326800212,False,True
O9340,3,100,61,97,4,58.077534382926416,19.026297590440446,5.37585655560887,False,True
O6731,7,98,72,54,4,78.49203781276162,17.26267650163207,5.37569236873402,False,True
O4365,29,97,84,39,6,79.93122043357026,17.11724276862369,5.370962267668228,False,True
O5770,24,99,78,58,4,67.80117993073571,18.027756377319946,5.340334506781533,False,True
O9664,30,96,90,28,3,90.68627239003708,16.0312195418814,5.3357945689280335,False,True
O1374,3,100,3,44,3,56.0,19.026297590440446,5.335740443781715,False,True
O1756,6,98,72,58,3,77.17512552629896,17.11724276862369,5.317743503918765,False,True
O2218,14,97,38,5,6,95.0789145920377,15.524174696260024,5.3072355382183005,False,True
O0709,14,100,69,74,5,60.83584469702052,18.439088914585774,5.297814246096625,False,True
O3614,31,98,42,2,5,96.62815324738438,15.297058540778355,5.286365817198672,False,True
O6909,6,96,73,24,2,98.35141076771599,15.132745950421556,5.282899614325885,False,True
O4519,12,98,80,70,4,73.53910524340094,17.08800749063506,5.240996630474896,False,True
O0246,13,99,47,44,5,64.66065264130884,17.72004514666935,5.210886230125879,False,True
O4714,26,96,80,33,5,82.97590011563598,16.1245154965971,5.207772887463943,False,True
O9798,27,94,1,2,5,95.60334722173695,15.0,5.200153035111038,False,True
O3832,28,100,10,51,8,52.20153254455275,18.681541692269406,5.18530424415432,False,True
O6473,17,96,74,8,5,104.84750831564858,14.035668847618199,5.163021992202447,False,True
O7294,10,97,77,76,4,70.21395872616783,17.0,5.15711070200555,False,True
O2041,5,94,85,10,5,116.0,13.038404810405298,5.1553758066948205,False,True
O3914,12,98,21,30,2,68.59300255857006,17.08800749063506,5.145489951960255,False,True
O3045,3,97,80,73,4,80.65358020571685,16.0312195418814,5.142068484343724,False,True
O8547,25,98,88,93,1,63.198101237299845,17.46424919657298,5.125447407502432,False,True
O0496,10,96,12,18,6,78.02563681252464,16.1245154965971,5.112185869567397,False,True
O1267,18,99,36,34,7,67.446274915669,17.0,5.103668162543082,False,True
O5477,4,96,50,18,3,90.55385138137417,15.0,5.102649888367727,False,True
O3706,26,95,90,37,6,86.37129152675674,15.264337522473747,5.080994492967771,False,True
O0527,21,98,16,24,3,74.16872656315464,16.278820596099706,5.072214601461002,False,True
O5051,26,98,3,48,2,55.036351623268054,17.88854381999832,5.062723415998377,False,True
O4774,30,99,39,29,7,70.57619995437555,16.492422502470642,5.05060761348414,False,True
O4216,10,94,91,43,5,95.71833680126291,14.317821063276353,5.049833576741554,False,True
O1257,18,97,60,20,6,87.70974860299168,15.0,5.047731738255188,False,True
O0058,9,97,37,36,3,67.11929677819934,16.76305461424021,5.044371785280466,False,True
O7355,2,97,40,33,3,74.43117626371358,16.1245154965971,5.042778699934283,False,True
O8066,7,99,56,96,2,49.09175083453431,18.24828759089466,5.02837740939389,False,True
O7532,1,96,58,36,7,82.75868534480233,15.297058540778355,5.018553582688556,False,True
O9042,13,99,67,92,1,54.45181356024793,17.72004514666935,5.0137588402896665,False,True
O6614,11,97,46,39,8,67.7421582177598,16.55294535724685,5.0094170586191185,False,True
O4851,27,96,93,94,7,66.03029607687671,16.64331697709324,4.996569596722712,False,True
O4451,17,97,67,29,1,84.40379138403677,15.033296378372908,4.99134071489037,False,True
O8146,13,97,86,79,1,75.18643494673756,15.811388300841896,4.987344984004924,False,True
O4646,6,99,28,56,1,48.30113870293329,18.110770276274835,4.982361292671817,False,True
O6483,30,96,22,25,4,71.449282711585,16.0312195418814,4.964338271741956,False,True
O0019,16,98,37,32,7,69.26037828369117,16.1245154965971,4.942933271763791,False,True
O9983,13,100,10,61,7,39.11521443121589,18.681541692269406,4.932614226046957,False,True
O5431,24,94,74,8,5,99.4786409235671,13.416407864998739,4.920880981080041,False,True
O4238,1,94,98,69,7,100.16985574512923,13.341664064126334,4.9175147589561945,False,True
O4388,26,93,73,8,1,97.12878049270464,13.601470508735444,4.916887659605028,False,True
O9081,24,97,41,32,6,67.1863081289633,16.15549442140351,4.909811150560805,False,True
O8604,8,97,71,95,7,63.0317380372777,16.492422502470642,4.904927965325591,False,True
O5785,23,96,9,16,4,81.21576201698781,14.866068747318506,4.8923882855855965,False,True
O6277,31,94,88,39,8,79.20858539325141,15.033296378372908,4.89102398068649,False,True
O8569,21,97,13,22,4,75.4254598925323,15.297058540778355,4.876952801149326,False,True
O3765,12,93,79,9,4,107.44766167767449,12.529964086141668,4.876543785491163,False,True
O2291,25,98,59,61,5,50.24937810560445,17.46424919657298,4.875414277153822,False,True
O8806,2,99,23,62,8,42.5440947723653,18.110770276274835,4.87119575913817,False,True
O1417,23,99,56,66,2,46.66904755831214,17.72004514666935,4.863477663802734,False,True
O7462,8,97,48,53,3,59.464274989274024,16.492422502470642,4.83604210343609,False,True
O9849,20,100,57,83,3,40.718546143004666,18.110770276274835,4.83594536156921,False,True
O4550,14,98,21,39,1,59.413803110051795,16.492422502470642,4.835067517615684,False,True
O4036,17,99,55,64,6,51.66236541235796,17.029386365926403,4.8054600444561615,False,True
O4885,7,94,23,1,5,94.36630754670864,13.341664064126334,4.8054512521206645,False,True
